          nEv  nVtx  nTrk      xVtx      yVtx       zVtx       trkPt    trkEta  trkNHit  trkNlayer  highPurity
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.716792 -1.332167       11          8        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.716000  0.817046       15         12        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.715688 -1.499261       21         15        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.714186  1.033351       19         12        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.711783  1.730354        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.711717 -1.176879        5          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.709261 -0.472367        5          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.707509 -0.327899        3          3        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.705188  0.683188        5          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.704510 -1.826794        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.703106  1.534150        6          6        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.699867  2.390092        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.695291  2.000936        8          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.695232  1.810891       20         15        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.691462  0.619334        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.684811 -2.123979        5          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.684542  0.008000       10          9        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.679879 -1.503510        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.677975 -1.653960       11          7        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.676680 -2.595139        6          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.675489  0.739840        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.670417  2.302154        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.664510  1.735481        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.663901  1.579244        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.661752  1.109327        5          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.657055  0.920173       16         12        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.656777 -2.123553       12          6        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.650845  2.332950        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.648316 -1.140855        5          5        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.646880  0.121125        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.642046  2.150992        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.641376  1.066515        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.640177 -2.369914       14         10        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.636364  1.768941        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.635411  0.178697        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.633418  1.200677        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.631297 -2.235659        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.627582 -1.049779        4          4        True
2328     3354     1  2139  0.170542 -0.182705   1.620260    0.626863 -1.198397        4          4        True
