         nEv  nVtx  nTrk      xVtx      yVtx       zVtx      trkPt    trkEta  trkNHit  trkNlayer  highPurity
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.474193 -0.744835       17         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.473959  2.685732        3          3        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.473317  1.676781       19         15        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.472024  2.347790       17         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.471807 -1.060530       12         10        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.470460  2.626989        3          3        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.469812 -0.988774       15         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.466335  0.478778       19         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.465713  2.152870       16         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.463883 -2.712627        3          3        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.458585  1.497810        7          6        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.455672 -0.467846       17         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.455220  0.605829       16         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.453277  1.734662       21         16        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.452284 -0.066951       15         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.445840 -1.666332       17         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.444651 -2.520613       10          8        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.444632 -1.120526       15         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.442149  0.976048       16         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.441936 -0.686792       14         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.439411  2.241910       16         10        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.438309  1.230609       12          9        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.437981  0.210510       15         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.433649 -0.472836       15         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.433124  0.052694       15         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.428406 -0.079206       15         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.427883  0.140475        9          7        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.426424 -2.698853        4          4        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.423318 -1.201986        6          5        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.420059  0.759593       16         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.416471  2.052153       13         10        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.414679  2.101469       20         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.414010 -0.687171       13         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.413914  0.707625       17         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.409825 -2.510577        8          6        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.409697 -2.821761        3          3        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.406362 -1.988835        4          4        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.403484  2.261555       17         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.403050 -2.873156        3          3        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.394258  0.198313        8          6        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.389999  0.126635       20         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.387555 -0.424257       16         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.383331  0.466077       10          8        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.382853 -0.324644       13         10        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.379930 -2.513865        9          6        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.376015  1.658804       17         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.375232  1.808860       23         15        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.375177  2.090598        5          5        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.368943 -1.896380       24         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.366260  1.955331       21         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.365314  0.508185       16         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.360068  1.664163        9          6        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.358107 -1.844633       16         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.355818 -1.128012       16         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.350360  2.075241       16         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.347106 -2.601073        7          5        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.343891  1.763220       18         10        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.342361 -0.071818       19         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.335335  1.530622       17         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.330081  0.859139       20         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.329022  2.002498       19         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.328464  0.439244       18         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.326176  1.382018       12         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.325895  1.919049       26         17        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.325449  1.028844       10          6        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.319204  2.272858       17         10        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.315794  0.897177       17         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.315770  1.724312       21         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.315106 -2.396437       16         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.311236 -0.982942        9          8        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.308589 -2.074126       20         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.303471  0.109329       14         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.302288  0.295523        8          7        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.301499  1.553102       15         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.294042 -0.257224       16         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.292369  1.442996       16         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.291018  1.734795       25         16        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.289845 -0.840195       13         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.286486  1.910841        4          4        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.283053 -1.703108       17         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.281363  2.399478        9          5        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.280819 -1.869799       24         17        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.280708 -0.909935        5          5        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.272888 -0.262510       16         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.271448 -0.905979       16         10        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.269757 -0.689429        9          7        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.269386 -2.895864        3          3        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.268152 -0.943567       18         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.267011 -0.958380       14         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.266847  0.186440       11         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.265798 -0.250475       19         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.263044 -1.058781       12          9        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.261920  2.262349       19         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.261902  0.444624       16         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.254913 -1.796803       17         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.254665 -0.894804       13         10        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.254517 -2.499172        4          4        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.251786 -1.209760       17         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.250539  1.689390       20         15        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.250129 -0.674974       18         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.247329 -2.089161       21         15        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.238828  0.705099       19         13        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.234856 -0.390441       13         10        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.234149 -0.218477       20         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.231362 -0.693924       16         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.228247 -1.999844       19         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.225136 -0.227561       18         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.224012 -1.445688        4          4        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.222868 -0.630194       10          8        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.221879  1.571311       15         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.220900  1.333293        4          4        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.220294  1.647658       14         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.214198  1.998386       23         15        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.211744  1.518198       20         15        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.210653  0.093824       15         12        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.209420  2.286777       13          8        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.208324 -0.650169       15         11        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.207163 -0.034771        4          4        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.206526 -1.854589        5          5        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.203406 -1.897606        5          4        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.201582  2.494268       10          7        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.200067  0.327788       11          9        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.198968 -0.200561       18         14        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.198441  0.940922        9          7        True
2328    3354     1  2139  0.170542 -0.182705   1.620260   1.198125  1.284483        6          5        True
